Fecha,Producto,Categoría,Región,Canal,Cantidad,PrecioUnitario,CostoUnitario,Ventas,Costo,Margen,MargenPct,AñoMes,TicketPromedio
2024-08-10,Horno Smart,Hogar,Norte,Online,5,458.0,349.07,2290.0,1745.35,544.65,0.2378,2024-08,458.0
2024-07-12,Chaqueta Premium,Moda,Centro,Online,5,136.33,87.99,681.65,439.95,241.7,0.3546,2024-07,136.33
2024-03-31,Licuadora Pro,Hogar,Centro,Online,6,238.34,147.1,1430.04,882.6,547.44,0.3828,2024-03,238.34
2025-02-12,Smart Band,Deportes,Centro,Retail,1,1156.97,881.5,1156.97,881.5,275.47,0.2381,2025-02,1156.97
2024-07-31,Horno Smart,Hogar,Sur,Distribuidor,3,99.85,65.35,299.55,196.05,103.5,0.3455,2024-07,99.85
2025-04-15,Colchoneta Yoga,Deportes,Este,Retail,2,1141.98,699.23,2283.96,1398.46,885.5,0.3877,2025-04,1141.98
2024-11-11,Té Orgánico,Alimentos,Norte,Online,2,61.13,47.0,122.26,94.0,28.26,0.2311,2024-11,61.13
2024-09-09,Aspiradora Plus,Hogar,Este,Online,2,284.99,205.81,569.98,411.62,158.36,0.2778,2024-09,284.99
2024-05-25,Cocoa Premium,Alimentos,Sur,Distribuidor,4,87.44,41.07,349.76,164.28,185.48,0.5303,2024-05,87.44
2025-06-01,Aspiradora Plus,Hogar,Norte,Distribuidor,3,348.55,181.86,1045.65,545.58,500.07,0.4782,2025-06,348.55
2024-01-01,Laptop Pro,Electrónica,Norte,Online,1,1368.25,864.88,1368.25,864.88,503.37,0.3679,2024-01,1368.25
2024-04-27,Bicicleta Urbana,Deportes,Centro,Online,3,935.91,630.59,2807.73,1891.77,915.96,0.3262,2024-04,935.91
2024-03-15,Colchoneta Yoga,Deportes,Sur,Distribuidor,3,47.02,29.62,141.06,88.86,52.2,0.3701,2024-03,47.02
2024-11-30,Horno Smart,Hogar,Centro,Retail,2,395.93,313.98,791.86,627.96,163.9,0.207,2024-11,395.93
2024-02-22,Licuadora Pro,Hogar,Oeste,Online,2,164.28,84.28,328.56,168.56,160.0,0.487,2024-02,164.28
2024-10-07,Smartphone X,Electrónica,Oeste,Retail,1,1365.82,695.38,1365.82,695.38,670.44,0.4909,2024-10,1365.82
2025-06-17,Jeans Fit,Moda,Oeste,Distribuidor,2,88.09,64.29,176.18,128.58,47.6,0.2702,2025-06,88.09
2024-04-30,Smartphone X,Electrónica,Norte,Retail,1,1094.12,721.08,1094.12,721.08,373.04,0.3409,2024-04,1094.12
2024-10-29,Bicicleta Urbana,Deportes,Sur,Online,1,753.36,527.11,753.36,527.11,226.25,0.3003,2024-10,753.36
2024-12-28,Horno Smart,Hogar,Oeste,Online,1,117.87,61.76,117.87,61.76,56.11,0.476,2024-12,117.87
2025-04-18,Zapatillas Urban,Moda,Este,Retail,3,176.41,113.82,529.23,341.46,187.77,0.3548,2025-04,176.41
2025-01-03,Aspiradora Plus,Hogar,Oeste,Distribuidor,1,264.54,149.63,264.54,149.63,114.91,0.4344,2025-01,264.54
2025-01-11,Smartphone X,Electrónica,Centro,Online,1,508.39,388.34,508.39,388.34,120.05,0.2361,2025-01,508.39
2024-08-30,Laptop Pro,Electrónica,Sur,Retail,1,223.72,177.02,223.72,177.02,46.7,0.2087,2024-08,223.72
2025-05-18,Jeans Fit,Moda,Sur,Retail,3,196.56,102.18,589.68,306.54,283.14,0.4802,2025-05,196.56
2025-06-15,Laptop Pro,Electrónica,Oeste,Online,1,489.38,229.1,489.38,229.1,260.28,0.5319,2025-06,489.38
2024-01-10,Bolso Classic,Moda,Oeste,Retail,1,245.91,120.7,245.91,120.7,125.21,0.5092,2024-01,245.91
2025-02-22,Camisa Oxford,Moda,Oeste,Online,2,338.46,240.1,676.92,480.2,196.72,0.2906,2025-02,338.46
2024-12-14,Cafetera Barista,Hogar,Sur,Online,3,440.5,324.12,1321.5,972.36,349.14,0.2642,2024-12,440.5
2024-10-21,Cocoa Premium,Alimentos,Norte,Distribuidor,2,42.29,26.9,84.58,53.8,30.78,0.3639,2024-10,42.29
2024-04-13,Bicicleta Urbana,Deportes,Norte,Distribuidor,1,1129.6,753.47,1129.6,753.47,376.13,0.333,2024-04,1129.6
2025-04-22,Camisa Oxford,Moda,Centro,Online,1,116.72,83.67,116.72,83.67,33.05,0.2832,2025-04,116.72
2024-04-27,Smartwatch Z,Electrónica,Norte,Online,1,1267.63,890.88,1267.63,890.88,376.75,0.2972,2024-04,1267.63
2024-05-09,Smartwatch Z,Electrónica,Norte,Distribuidor,3,215.86,129.14,647.58,387.42,260.16,0.4017,2024-05,215.86
2024-12-11,Licuadora Pro,Hogar,Norte,Distribuidor,1,135.67,105.31,135.67,105.31,30.36,0.2238,2024-12,135.67
2024-12-21,Horno Smart,Hogar,Centro,Online,1,486.65,362.14,486.65,362.14,124.51,0.2559,2024-12,486.65
2025-02-10,Pack Proteico,Alimentos,Oeste,Distribuidor,1,76.19,40.35,76.19,40.35,35.84,0.4704,2025-02,76.19
2025-03-06,Cocoa Premium,Alimentos,Centro,Retail,3,33.35,19.06,100.05,57.18,42.87,0.4285,2025-03,33.35
2025-02-21,Cinta Correr,Deportes,Este,Online,2,68.43,49.49,136.86,98.98,37.88,0.2768,2025-02,68.43
2024-06-04,Colchoneta Yoga,Deportes,Sur,Distribuidor,2,1171.38,649.95,2342.76,1299.9,1042.86,0.4451,2024-06,1171.38
2024-05-20,Colchoneta Yoga,Deportes,Este,Online,3,965.74,675.94,2897.22,2027.82,869.4,0.3001,2024-05,965.74
2024-07-12,Auriculares Max,Electrónica,Centro,Distribuidor,1,894.79,638.55,894.79,638.55,256.24,0.2864,2024-07,894.79
2025-04-02,Smartphone X,Electrónica,Centro,Online,3,1366.66,856.8,4099.98,2570.4,1529.58,0.3731,2025-04,1366.66
2024-11-23,Café Gourmet,Alimentos,Sur,Retail,1,25.25,17.75,25.25,17.75,7.5,0.297,2024-11,25.25
2024-04-29,Laptop Pro,Electrónica,Este,Retail,1,1248.91,838.81,1248.91,838.81,410.1,0.3284,2024-04,1248.91
2024-05-30,Licuadora Pro,Hogar,Centro,Distribuidor,4,126.3,58.35,505.2,233.4,271.8,0.538,2024-05,126.3
2025-06-15,Smart Band,Deportes,Centro,Online,2,608.31,377.52,1216.62,755.04,461.58,0.3794,2025-06,608.31
2024-05-07,Café Gourmet,Alimentos,Norte,Online,1,61.18,36.56,61.18,36.56,24.62,0.4024,2024-05,61.18
2025-03-17,Bicicleta Urbana,Deportes,Norte,Distribuidor,2,829.33,490.83,1658.66,981.66,677.0,0.4082,2025-03,829.33
2025-01-12,Snack Saludable,Alimentos,Este,Retail,2,27.65,17.23,55.3,34.46,20.84,0.3769,2025-01,27.65
2025-02-04,Snack Saludable,Alimentos,Este,Online,1,18.18,9.74,18.18,9.74,8.44,0.4642,2025-02,18.18
2024-05-28,Smart Band,Deportes,Oeste,Retail,3,1101.15,681.96,3303.45,2045.88,1257.57,0.3807,2024-05,1101.15
2024-05-27,Smartphone X,Electrónica,Oeste,Retail,2,410.62,235.3,821.24,470.6,350.64,0.427,2024-05,410.62
2024-08-04,Smartphone X,Electrónica,Este,Online,1,1004.76,453.99,1004.76,453.99,550.77,0.5482,2024-08,1004.76
2025-06-07,Cinta Correr,Deportes,Oeste,Distribuidor,1,1103.26,705.72,1103.26,705.72,397.54,0.3603,2025-06,1103.26
2024-08-03,Camisa Oxford,Moda,Norte,Online,4,246.01,114.51,984.04,458.04,526.0,0.5345,2024-08,246.01
2024-01-16,Laptop Pro,Electrónica,Centro,Online,5,1262.54,941.34,6312.7,4706.7,1606.0,0.2544,2024-01,1262.54
2025-02-05,Smart Band,Deportes,Centro,Online,4,751.16,549.39,3004.64,2197.56,807.08,0.2686,2025-02,751.16
2025-05-30,Zapatillas Urban,Moda,Norte,Retail,1,312.37,235.69,312.37,235.69,76.68,0.2455,2025-05,312.37
2025-02-17,Bicicleta Urbana,Deportes,Este,Online,1,479.24,230.51,479.24,230.51,248.73,0.519,2025-02,479.24
2024-11-13,Aspiradora Plus,Hogar,Este,Distribuidor,2,398.85,194.9,797.7,389.8,407.9,0.5113,2024-11,398.85
2024-05-21,Camisa Oxford,Moda,Sur,Online,1,214.41,125.87,214.41,125.87,88.54,0.4129,2024-05,214.41
2024-05-19,Purificador A2,Hogar,Oeste,Online,5,490.91,364.86,2454.55,1824.3,630.25,0.2568,2024-05,490.91
2024-11-05,Cafetera Barista,Hogar,Oeste,Distribuidor,2,336.85,265.84,673.7,531.68,142.02,0.2108,2024-11,336.85
2025-06-04,Cafetera Barista,Hogar,Sur,Distribuidor,1,597.25,439.3,597.25,439.3,157.95,0.2645,2025-06,597.25
2024-04-29,Auriculares Max,Electrónica,Norte,Retail,1,1172.23,723.07,1172.23,723.07,449.16,0.3832,2024-04,1172.23
2024-07-13,Purificador A2,Hogar,Oeste,Retail,1,525.55,311.63,525.55,311.63,213.92,0.407,2024-07,525.55
2024-02-07,Cinta Correr,Deportes,Sur,Online,1,549.16,342.29,549.16,342.29,206.87,0.3767,2024-02,549.16
2024-08-11,Licuadora Pro,Hogar,Este,Retail,4,549.52,277.55,2198.08,1110.2,1087.88,0.4949,2024-08,549.52
2024-12-28,Tablet Air,Electrónica,Este,Distribuidor,4,484.78,256.94,1939.12,1027.76,911.36,0.47,2024-12,484.78
2024-03-22,Té Orgánico,Alimentos,Centro,Retail,3,29.4,19.75,88.2,59.25,28.95,0.3282,2024-03,29.4
2024-12-30,Smartphone X,Electrónica,Este,Online,3,1092.42,517.53,3277.26,1552.59,1724.67,0.5263,2024-12,1092.42
2024-07-10,Café Gourmet,Alimentos,Norte,Online,1,52.0,41.12,52.0,41.12,10.88,0.2092,2024-07,52.0
2024-10-11,Té Orgánico,Alimentos,Este,Distribuidor,3,10.58,4.76,31.74,14.28,17.46,0.5501,2024-10,10.58
2025-04-26,Colchoneta Yoga,Deportes,Centro,Distribuidor,2,528.63,253.13,1057.26,506.26,551.0,0.5212,2025-04,528.63
2024-03-24,Auriculares Max,Electrónica,Centro,Online,3,1050.86,834.79,3152.58,2504.37,648.21,0.2056,2024-03,1050.86
2024-09-13,Bicicleta Urbana,Deportes,Oeste,Online,3,902.63,470.54,2707.89,1411.62,1296.27,0.4787,2024-09,902.63
2024-11-04,Cocoa Premium,Alimentos,Sur,Retail,3,72.73,32.76,218.19,98.28,119.91,0.5496,2024-11,72.73
2025-03-30,Chaqueta Premium,Moda,Este,Distribuidor,1,86.17,56.33,86.17,56.33,29.84,0.3463,2025-03,86.17
2024-04-26,Bicicleta Urbana,Deportes,Este,Distribuidor,4,1181.69,844.87,4726.76,3379.48,1347.28,0.285,2024-04,1181.69
2024-04-11,Colchoneta Yoga,Deportes,Este,Retail,1,906.52,560.98,906.52,560.98,345.54,0.3812,2024-04,906.52
2024-04-01,Smart Band,Deportes,Sur,Online,1,41.43,19.12,41.43,19.12,22.31,0.5385,2024-04,41.43
2024-04-25,Jeans Fit,Moda,Sur,Distribuidor,1,86.28,59.07,86.28,59.07,27.21,0.3154,2024-04,86.28
2024-11-12,Café Gourmet,Alimentos,Oeste,Distribuidor,4,48.46,23.17,193.84,92.68,101.16,0.5219,2024-11,48.46
2024-03-24,Tablet Air,Electrónica,Este,Online,1,872.96,574.1,872.96,574.1,298.86,0.3424,2024-03,872.96
2025-06-07,Camisa Oxford,Moda,Centro,Distribuidor,2,342.04,213.56,684.08,427.12,256.96,0.3756,2025-06,342.04
2024-12-17,Colchoneta Yoga,Deportes,Oeste,Retail,1,119.12,60.87,119.12,60.87,58.25,0.489,2024-12,119.12
2024-06-07,Horno Smart,Hogar,Oeste,Distribuidor,3,516.97,237.96,1550.91,713.88,837.03,0.5397,2024-06,516.97
2025-05-26,Aspiradora Plus,Hogar,Este,Distribuidor,1,382.77,223.67,382.77,223.67,159.1,0.4157,2025-05,382.77
2025-06-13,Café Gourmet,Alimentos,Norte,Online,1,74.04,38.01,74.04,38.01,36.03,0.4866,2025-06,74.04
2024-11-13,Cinta Correr,Deportes,Sur,Online,1,687.53,405.41,687.53,405.41,282.12,0.4103,2024-11,687.53
2024-06-11,Smartphone X,Electrónica,Sur,Retail,1,1053.76,501.3,1053.76,501.3,552.46,0.5243,2024-06,1053.76
2024-09-26,Pack Proteico,Alimentos,Oeste,Retail,3,43.2,25.18,129.6,75.54,54.06,0.4171,2024-09,43.2
2024-04-16,Snack Saludable,Alimentos,Oeste,Retail,3,73.48,40.0,220.44,120.0,100.44,0.4556,2024-04,73.48
2025-05-25,Zapatillas Urban,Moda,Sur,Distribuidor,1,94.15,45.77,94.15,45.77,48.38,0.5139,2025-05,94.15
2024-07-24,Smartphone X,Electrónica,Oeste,Online,3,1039.94,592.69,3119.82,1778.07,1341.75,0.4301,2024-07,1039.94
2024-10-20,Horno Smart,Hogar,Oeste,Online,2,72.38,43.81,144.76,87.62,57.14,0.3947,2024-10,72.38
2025-05-31,Snack Saludable,Alimentos,Norte,Retail,1,36.82,19.72,36.82,19.72,17.1,0.4644,2025-05,36.82
2025-06-21,Licuadora Pro,Hogar,Centro,Distribuidor,2,368.13,216.41,736.26,432.82,303.44,0.4121,2025-06,368.13
2024-03-09,Café Gourmet,Alimentos,Oeste,Distribuidor,3,32.04,17.66,96.12,52.98,43.14,0.4488,2024-03,32.04
2024-11-19,Té Orgánico,Alimentos,Centro,Retail,3,81.62,55.27,244.86,165.81,79.05,0.3228,2024-11,81.62
2024-03-05,Licuadora Pro,Hogar,Oeste,Retail,1,273.93,145.06,273.93,145.06,128.87,0.4704,2024-03,273.93
2024-09-23,Cafetera Barista,Hogar,Centro,Retail,3,420.83,239.64,1262.49,718.92,543.57,0.4306,2024-09,420.83
2024-01-12,Cafetera Barista,Hogar,Oeste,Online,4,344.38,263.05,1377.52,1052.2,325.32,0.2362,2024-01,344.38
2024-04-26,Cinta Correr,Deportes,Este,Retail,1,1114.63,691.13,1114.63,691.13,423.5,0.3799,2024-04,1114.63
2025-01-07,Smart Band,Deportes,Norte,Online,3,969.54,497.76,2908.62,1493.28,1415.34,0.4866,2025-01,969.54
2024-12-16,Purificador A2,Hogar,Oeste,Distribuidor,2,491.88,361.78,983.76,723.56,260.2,0.2645,2024-12,491.88
2024-06-20,Purificador A2,Hogar,Norte,Retail,2,401.9,266.8,803.8,533.6,270.2,0.3362,2024-06,401.9
2025-01-12,Bolso Classic,Moda,Centro,Retail,3,203.69,149.37,611.07,448.11,162.96,0.2667,2025-01,203.69
2025-03-14,Chaqueta Premium,Moda,Sur,Retail,1,304.72,139.65,304.72,139.65,165.07,0.5417,2025-03,304.72
2025-02-22,Camisa Oxford,Moda,Norte,Distribuidor,2,149.0,103.3,298.0,206.6,91.4,0.3067,2025-02,149.0
2025-01-08,Jeans Fit,Moda,Norte,Retail,4,132.56,89.59,530.24,358.36,171.88,0.3242,2025-01,132.56
2024-03-13,Colchoneta Yoga,Deportes,Oeste,Distribuidor,1,445.35,325.16,445.35,325.16,120.19,0.2699,2024-03,445.35
2025-06-22,Cocoa Premium,Alimentos,Sur,Retail,1,24.62,11.53,24.62,11.53,13.09,0.5317,2025-06,24.62
2024-06-20,Cafetera Barista,Hogar,Oeste,Retail,2,361.2,249.77,722.4,499.54,222.86,0.3085,2024-06,361.2
2024-11-06,Auriculares Max,Electrónica,Este,Distribuidor,4,896.58,714.91,3586.32,2859.64,726.68,0.2026,2024-11,896.58
2024-09-04,Zapatillas Urban,Moda,Oeste,Online,1,214.49,155.23,214.49,155.23,59.26,0.2763,2024-09,214.49
2025-05-23,Cocoa Premium,Alimentos,Norte,Retail,3,12.45,7.55,37.35,22.65,14.7,0.3936,2025-05,12.45
2024-07-14,Cocoa Premium,Alimentos,Norte,Online,2,50.5,33.82,101.0,67.64,33.36,0.3303,2024-07,50.5
2024-06-06,Zapatillas Urban,Moda,Oeste,Online,1,280.71,143.37,280.71,143.37,137.34,0.4893,2024-06,280.71
2024-05-09,Tablet Air,Electrónica,Oeste,Retail,2,490.7,244.72,981.4,489.44,491.96,0.5013,2024-05,490.7
2024-12-01,Licuadora Pro,Hogar,Este,Retail,1,154.41,76.79,154.41,76.79,77.62,0.5027,2024-12,154.41
2024-06-21,Bolso Classic,Moda,Oeste,Retail,1,122.9,82.87,122.9,82.87,40.03,0.3257,2024-06,122.9
2024-02-12,Auriculares Max,Electrónica,Norte,Distribuidor,1,1005.46,802.56,1005.46,802.56,202.9,0.2018,2024-02,1005.46
2024-09-09,Pack Proteico,Alimentos,Este,Online,2,10.78,7.18,21.56,14.36,7.2,0.334,2024-09,10.78
2024-04-10,Smartphone X,Electrónica,Norte,Online,1,899.81,546.57,899.81,546.57,353.24,0.3926,2024-04,899.81
2025-04-27,Aspiradora Plus,Hogar,Centro,Online,1,283.63,175.42,283.63,175.42,108.21,0.3815,2025-04,283.63
2024-09-02,Purificador A2,Hogar,Oeste,Distribuidor,3,374.36,176.93,1123.08,530.79,592.29,0.5274,2024-09,374.36
2024-06-12,Smartwatch Z,Electrónica,Sur,Retail,1,682.83,513.92,682.83,513.92,168.91,0.2474,2024-06,682.83
2024-08-14,Mancuernas Set,Deportes,Sur,Distribuidor,4,567.55,305.99,2270.2,1223.96,1046.24,0.4609,2024-08,567.55
2024-01-10,Pack Proteico,Alimentos,Sur,Retail,2,47.11,35.86,94.22,71.72,22.5,0.2388,2024-01,47.11
2024-06-21,Smartwatch Z,Electrónica,Norte,Retail,1,395.22,276.94,395.22,276.94,118.28,0.2993,2024-06,395.22
2025-03-10,Té Orgánico,Alimentos,Oeste,Distribuidor,1,35.03,25.26,35.03,25.26,9.77,0.2789,2025-03,35.03
2025-01-25,Aspiradora Plus,Hogar,Centro,Distribuidor,1,251.61,150.59,251.61,150.59,101.02,0.4015,2025-01,251.61
2025-01-02,Aspiradora Plus,Hogar,Este,Distribuidor,1,219.54,146.05,219.54,146.05,73.49,0.3347,2025-01,219.54
2024-06-17,Pack Proteico,Alimentos,Centro,Online,1,15.64,12.08,15.64,12.08,3.56,0.2276,2024-06,15.64
2024-10-14,Smart Band,Deportes,Oeste,Distribuidor,1,81.17,47.21,81.17,47.21,33.96,0.4184,2024-10,81.17
2024-05-03,Bicicleta Urbana,Deportes,Centro,Distribuidor,1,350.34,279.34,350.34,279.34,71.0,0.2027,2024-05,350.34
2024-05-01,Bicicleta Urbana,Deportes,Oeste,Retail,5,1020.42,522.56,5102.1,2612.8,2489.3,0.4879,2024-05,1020.42
2024-08-22,Auriculares Max,Electrónica,Este,Distribuidor,1,550.13,433.39,550.13,433.39,116.74,0.2122,2024-08,550.13
2025-04-07,Zapatillas Urban,Moda,Oeste,Online,2,188.99,142.81,377.98,285.62,92.36,0.2444,2025-04,188.99
2025-01-01,Café Gourmet,Alimentos,Centro,Distribuidor,3,74.0,56.09,222.0,168.27,53.73,0.242,2025-01,74.0
2025-05-05,Jeans Fit,Moda,Oeste,Distribuidor,2,222.94,166.5,445.88,333.0,112.88,0.2532,2025-05,222.94
2024-11-09,Café Gourmet,Alimentos,Este,Online,1,34.46,27.52,34.46,27.52,6.94,0.2014,2024-11,34.46
2024-05-11,Tablet Air,Electrónica,Oeste,Online,1,700.99,322.58,700.99,322.58,378.41,0.5398,2024-05,700.99
2024-07-06,Camisa Oxford,Moda,Centro,Distribuidor,1,178.72,116.7,178.72,116.7,62.02,0.347,2024-07,178.72
2024-02-24,Bolso Classic,Moda,Norte,Retail,1,217.79,122.56,217.79,122.56,95.23,0.4373,2024-02,217.79
2024-11-14,Cinta Correr,Deportes,Oeste,Online,3,421.06,202.53,1263.18,607.59,655.59,0.519,2024-11,421.06
2024-04-22,Mancuernas Set,Deportes,Este,Retail,3,1198.07,711.01,3594.21,2133.03,1461.18,0.4065,2024-04,1198.07
2024-03-18,Café Gourmet,Alimentos,Centro,Online,2,50.42,33.04,100.84,66.08,34.76,0.3447,2024-03,50.42
2025-03-01,Snack Saludable,Alimentos,Norte,Online,4,41.29,31.72,165.16,126.88,38.28,0.2318,2025-03,41.29
2024-11-08,Jeans Fit,Moda,Centro,Online,2,63.35,29.31,126.7,58.62,68.08,0.5373,2024-11,63.35
2024-06-11,Jeans Fit,Moda,Oeste,Online,2,128.25,59.8,256.5,119.6,136.9,0.5337,2024-06,128.25
2024-09-06,Tablet Air,Electrónica,Sur,Retail,2,930.59,460.45,1861.18,920.9,940.28,0.5052,2024-09,930.59
2024-07-17,Cafetera Barista,Hogar,Centro,Retail,2,507.05,262.1,1014.1,524.2,489.9,0.4831,2024-07,507.05
2024-10-31,Camisa Oxford,Moda,Centro,Retail,1,135.34,72.79,135.34,72.79,62.55,0.4622,2024-10,135.34
2024-11-22,Camisa Oxford,Moda,Este,Retail,4,90.29,54.18,361.16,216.72,144.44,0.3999,2024-11,90.29
2025-05-31,Bolso Classic,Moda,Este,Retail,2,172.56,108.61,345.12,217.22,127.9,0.3706,2025-05,172.56
2024-08-30,Aspiradora Plus,Hogar,Sur,Retail,2,168.74,127.78,337.48,255.56,81.92,0.2427,2024-08,168.74
2025-01-15,Smartwatch Z,Electrónica,Sur,Online,3,786.61,534.79,2359.83,1604.37,755.46,0.3201,2025-01,786.61
2025-01-13,Licuadora Pro,Hogar,Este,Distribuidor,2,478.83,321.82,957.66,643.64,314.02,0.3279,2025-01,478.83
2024-08-25,Cocoa Premium,Alimentos,Centro,Retail,4,31.92,16.62,127.68,66.48,61.2,0.4793,2024-08,31.92
2025-06-03,Laptop Pro,Electrónica,Este,Online,1,1225.97,896.5,1225.97,896.5,329.47,0.2687,2025-06,1225.97
2024-01-16,Cinta Correr,Deportes,Este,Online,4,173.25,79.74,693.0,318.96,374.04,0.5397,2024-01,173.25
2025-01-16,Snack Saludable,Alimentos,Este,Online,1,78.9,62.79,78.9,62.79,16.11,0.2042,2025-01,78.9
2025-03-25,Smartwatch Z,Electrónica,Este,Distribuidor,1,1268.13,886.68,1268.13,886.68,381.45,0.3008,2025-03,1268.13
2024-08-05,Licuadora Pro,Hogar,Norte,Online,3,180.06,110.73,540.18,332.19,207.99,0.385,2024-08,180.06
